,workclass,occupation
12604, Private, Exec-managerial
12605, Private, Prof-specialty
12606, Private, Exec-managerial
12607, Private, Priv-house-serv
12608, Private, Prof-specialty
12609, ?, ?
12610, Private, Adm-clerical
12611, Private, Adm-clerical
12612, Self-emp-not-inc, Farming-fishing
12613, Private, Prof-specialty
12614, Private, Adm-clerical
12615, Private, Machine-op-inspct
12616, Private, Craft-repair
12617, Self-emp-inc, Sales
12618, Private, Adm-clerical
12619, Private, Other-service
12620, State-gov, Exec-managerial
12621, Private, Farming-fishing
12622, Private, Prof-specialty
12623, Private, Other-service
12624, Self-emp-inc, Prof-specialty
12625, Private, Prof-specialty
12626, Private, Adm-clerical
12627, ?, ?
12628, Private, Sales
12629, Federal-gov, Adm-clerical
12630, Private, Transport-moving
12631, Private, Sales
12632, Self-emp-not-inc, Craft-repair
12633, State-gov, Exec-managerial
12634, Private, Transport-moving
12635, Private, Other-service
12636, Private, Other-service
12637, Self-emp-inc, Exec-managerial
12638, Private, Machine-op-inspct
12639, Private, Other-service
12640, Private, Handlers-cleaners
12641, Private, Tech-support
12642, Private, Other-service
12643, Private, Craft-repair
12644, Federal-gov, Prof-specialty
12645, Private, Other-service
12646, Private, Transport-moving
12647, Private, Exec-managerial
12648, Private, Machine-op-inspct
12649, Private, Craft-repair
12650, Private, Transport-moving
12651, ?, ?
12652, Private, Other-service
12653, Private, Farming-fishing
12654, Private, Prof-specialty
12655, Self-emp-inc, Exec-managerial
12656, Private, Sales
12657, Private, Machine-op-inspct
12658, Private, Adm-clerical
12659, Self-emp-inc, Adm-clerical
12660, Private, Adm-clerical
12661, Private, Adm-clerical
12662, Private, Craft-repair
12663, Private, Other-service
12664, Self-emp-inc, Exec-managerial
12665, Federal-gov, Exec-managerial
12666, Private, Prof-specialty
12667, ?, ?
12668, Private, Adm-clerical
12669, Private, Exec-managerial
12670, Private, Machine-op-inspct
12671, Private, Other-service
12672, Private, Adm-clerical
12673, Private, Tech-support
12674, Local-gov, Adm-clerical
12675, Private, Sales
12676, Private, Sales
12677, Private, Exec-managerial
12678, Private, Sales
12679, Private, Other-service
12680, Private, Exec-managerial
12681, Private, Craft-repair
12682, Private, Adm-clerical
12683, State-gov, Exec-managerial
12684, Private, Exec-managerial
12685, Self-emp-not-inc, Prof-specialty
12686, Private, Other-service
12687, Private, Sales
12688, Private, Adm-clerical
12689, Local-gov, Tech-support
12690, Private, Protective-serv
12691, Private, Sales
12692, Local-gov, Adm-clerical
12693, State-gov, Sales
12694, Private, Sales
12695, State-gov, Prof-specialty
12696, Self-emp-not-inc, Craft-repair
12697, Private, Adm-clerical
12698, Private, Adm-clerical
12699, Private, Other-service
12700, Self-emp-not-inc, Farming-fishing
12701, Private, Other-service
12702, Private, Handlers-cleaners
12703, Private, Adm-clerical
12704, Federal-gov, Exec-managerial
12705, Self-emp-not-inc, Exec-managerial
12706, Private, Machine-op-inspct
12707, Private, Handlers-cleaners
12708, Private, Prof-specialty
12709, Federal-gov, Craft-repair
12710, Private, Tech-support
12711, Private, Sales
12712, Private, Prof-specialty
12713, Private, Craft-repair
12714, State-gov, Prof-specialty
12715, Self-emp-not-inc, Prof-specialty
12716, Private, Sales
12717, Private, Adm-clerical
12718, Private, Sales
12719, Self-emp-inc, Sales
12720, Self-emp-not-inc, Sales
12721, Private, Handlers-cleaners
12722, Private, Handlers-cleaners
12723, Self-emp-not-inc, Prof-specialty
12724, Private, Craft-repair
12725, Private, Craft-repair
12726, Private, Prof-specialty
12727, Private, Sales
12728, Private, Adm-clerical
12729, Private, Prof-specialty
12730, Self-emp-inc, Prof-specialty
12731, Private, Adm-clerical
12732, Private, Exec-managerial
12733, Private, Adm-clerical
12734, Private, Sales
12735, Private, Exec-managerial
12736, Private, Adm-clerical
12737, Private, Craft-repair
12738, Private, Other-service
12739, Private, Exec-managerial
12740, State-gov, Other-service
12741, Private, Transport-moving
12742, Private, Craft-repair
12743, Private, Exec-managerial
12744, Private, Prof-specialty
12745, Private, Sales
12746, Private, Craft-repair
12747, Private, Sales
12748, Private, Other-service
12749, Local-gov, Transport-moving
12750, Self-emp-inc, Prof-specialty
12751, Private, Exec-managerial
12752, Private, Craft-repair
12753, Private, Sales
12754, Private, Transport-moving
12755, Private, Sales
12756, State-gov, Tech-support
12757, Private, Machine-op-inspct
12758, Private, Adm-clerical
12759, Self-emp-not-inc, Exec-managerial
12760, Private, Adm-clerical
12761, Private, Craft-repair
12762, Private, Craft-repair
12763, Private, Other-service
12764, State-gov, Adm-clerical
12765, State-gov, Adm-clerical
12766, Private, Sales
12767, Private, Prof-specialty
12768, Private, Sales
12769, Local-gov, Prof-specialty
12770, Private, Prof-specialty
12771, Private, Craft-repair
12772, Private, Other-service
12773, Private, Sales
12774, Private, Prof-specialty
12775, Private, Adm-clerical
12776, Private, Exec-managerial
12777, Private, Craft-repair
12778, Local-gov, Protective-serv
12779, Private, Prof-specialty
12780, Local-gov, Craft-repair
12781, Private, Adm-clerical
12782, State-gov, Prof-specialty
12783, Private, Craft-repair
12784, ?, ?
12785, Private, Machine-op-inspct
12786, Private, Sales
12787, Local-gov, Adm-clerical
12788, State-gov, Prof-specialty
12789, Private, Sales
12790, Federal-gov, Adm-clerical
12791, Private, Craft-repair
12792, Private, Craft-repair
12793, Private, Sales
12794, ?, ?
12795, Private, Protective-serv
12796, Private, Other-service
12797, Self-emp-inc, Exec-managerial
12798, Local-gov, Prof-specialty
12799, Private, Machine-op-inspct
12800, Private, Sales
12801, Self-emp-inc, Adm-clerical
12802, Private, Sales
12803, Private, Exec-managerial
12804, Private, Tech-support
12805, Self-emp-not-inc, Prof-specialty
12806, Private, Adm-clerical
12807, Self-emp-not-inc, Adm-clerical
12808, Private, Other-service
12809, Private, Other-service
12810, Private, Other-service
12811, Private, Craft-repair
12812, Private, Adm-clerical
12813, Private, Other-service
12814, Private, Tech-support
12815, Private, Adm-clerical
12816, Private, Other-service
12817, Local-gov, Exec-managerial
12818, Self-emp-inc, Sales
12819, Private, Exec-managerial
12820, Private, Handlers-cleaners
12821, Private, Craft-repair
12822, Private, Machine-op-inspct
12823, Private, Exec-managerial
12824, Private, Sales
12825, Private, Sales
12826, Private, Sales
12827, Private, Exec-managerial
12828, Private, Sales
12829, Private, Adm-clerical
12830, Private, Prof-specialty
12831, Private, Prof-specialty
12832, Private, Transport-moving
12833, Private, Adm-clerical
12834, Private, Adm-clerical
12835, State-gov, Tech-support
12836, Private, Other-service
12837, State-gov, Prof-specialty
12838, Private, Prof-specialty
12839, Private, Craft-repair
12840, Private, Machine-op-inspct
12841, Private, Exec-managerial
12842, Private, Sales
12843, Private, Exec-managerial
12844, Private, Machine-op-inspct
12845, Private, Craft-repair
12846, Private, Priv-house-serv
12847, Private, Prof-specialty
12848, Private, Adm-clerical
12849, ?, ?
12850, Private, Farming-fishing
12851, Private, Farming-fishing
12852, Private, Sales
12853, ?, ?
12854, Private, Other-service
12855, Private, Exec-managerial
12856, Federal-gov, Other-service
12857, Private, Transport-moving
12858, ?, ?
12859, Private, Adm-clerical
12860, Self-emp-not-inc, Craft-repair
12861, Private, Adm-clerical
12862, Private, Exec-managerial
12863, Federal-gov, Craft-repair
12864, Self-emp-not-inc, Other-service
12865, Private, Craft-repair
12866, Private, Other-service
12867, Federal-gov, Craft-repair
12868, Federal-gov, Machine-op-inspct
12869, Private, Sales
12870, Private, Machine-op-inspct
12871, Private, Other-service
12872, Private, Craft-repair
12873, Private, Craft-repair
12874, Private, Exec-managerial
12875, Private, Tech-support
12876, Self-emp-inc, Exec-managerial
12877, Private, Other-service
12878, Private, Sales
12879, Federal-gov, Adm-clerical
12880, Private, Adm-clerical
12881, Private, Other-service
12882, Private, Exec-managerial
12883, Private, Adm-clerical
12884, State-gov, Craft-repair
12885, Private, Sales
12886, Private, Machine-op-inspct
12887, Self-emp-not-inc, Farming-fishing
12888, Self-emp-not-inc, Farming-fishing
12889, Private, Craft-repair
12890, Private, Farming-fishing
12891, Private, Machine-op-inspct
12892, Private, Sales
12893, Local-gov, Prof-specialty
12894, Private, Machine-op-inspct
12895, Private, Exec-managerial
12896, Private, Machine-op-inspct
12897, Private, Adm-clerical
12898, Private, Other-service
12899, Private, Tech-support
12900, Private, Exec-managerial
12901, Private, Other-service
12902, State-gov, Prof-specialty
12903, Private, Sales
12904, Self-emp-inc, Exec-managerial
12905, Private, Craft-repair
12906, Self-emp-not-inc, Sales
12907, Private, Sales
12908, ?, ?
12909, Self-emp-not-inc, Adm-clerical
12910, Private, Other-service
12911, Private, Other-service
12912, Self-emp-not-inc, Craft-repair
12913, Private, Other-service
12914, Private, Sales
12915, Private, Sales
12916, Private, Adm-clerical
12917, Private, Prof-specialty
12918, ?, ?
12919, ?, ?
12920, Private, Prof-specialty
12921, Private, Craft-repair
12922, Private, Craft-repair
12923, Private, Adm-clerical
12924, Private, Craft-repair
12925, Private, Adm-clerical
12926, Private, Priv-house-serv
12927, Private, Sales
12928, Local-gov, Protective-serv
12929, Private, Adm-clerical
12930, Private, Craft-repair
12931, Private, Exec-managerial
12932, Private, Sales
12933, Private, Exec-managerial
12934, Private, Machine-op-inspct
12935, Local-gov, Craft-repair
12936, ?, ?
12937, Private, Prof-specialty
12938, Private, Exec-managerial
12939, Self-emp-inc, Adm-clerical
12940, Private, Craft-repair
12941, Private, Sales
12942, Private, Machine-op-inspct
12943, Private, Exec-managerial
12944, Private, Machine-op-inspct
12945, Self-emp-not-inc, Sales
12946, Self-emp-not-inc, Craft-repair
12947, Private, Exec-managerial
12948, Federal-gov, Adm-clerical
12949, Self-emp-not-inc, Farming-fishing
12950, Private, Handlers-cleaners
12951, Private, Farming-fishing
12952, Private, Exec-managerial
12953, Private, Prof-specialty
12954, Private, Other-service
12955, Private, Machine-op-inspct
12956, Private, Other-service
12957, Private, Adm-clerical
12958, Private, Other-service
12959, Private, Other-service
12960, Local-gov, Protective-serv
12961, Private, Exec-managerial
12962, Federal-gov, Adm-clerical
12963, Private, Other-service
12964, State-gov, Prof-specialty
12965, Private, Sales
12966, Private, Adm-clerical
12967, Self-emp-not-inc, Sales
12968, Private, Adm-clerical
12969, State-gov, Prof-specialty
12970, Self-emp-inc, Exec-managerial
12971, Private, Sales
12972, Self-emp-not-inc, Prof-specialty
12973, Private, Adm-clerical
12974, Private, Craft-repair
12975, Private, Exec-managerial
12976, Private, Sales
12977, Private, Transport-moving
12978, Private, Other-service
12979, Private, Exec-managerial
12980, Private, Machine-op-inspct
12981, ?, ?
12982, Federal-gov, Exec-managerial
12983, Private, Tech-support
12984, Self-emp-not-inc, Craft-repair
12985, Private, Machine-op-inspct
12986, Self-emp-not-inc, Craft-repair
12987, Private, Sales
12988, Self-emp-not-inc, Farming-fishing
12989, Private, Handlers-cleaners
12990, Self-emp-not-inc, Transport-moving
12991, ?, ?
12992, Private, Other-service
12993, Private, Other-service
12994, Private, Sales
12995, Self-emp-not-inc, Craft-repair
12996, ?, ?
12997, Private, Craft-repair
12998, Self-emp-not-inc, Prof-specialty
12999, Private, Machine-op-inspct
13000, Self-emp-not-inc, Prof-specialty
13001, Private, Craft-repair
13002, Private, Prof-specialty
13003, State-gov, Adm-clerical
13004, Private, Craft-repair
13005, Private, Prof-specialty
13006, Self-emp-not-inc, Exec-managerial
13007, Private, Other-service
13008, Private, Machine-op-inspct
13009, Private, Craft-repair
13010, Self-emp-inc, Prof-specialty
13011, Private, Tech-support
13012, Private, Handlers-cleaners
13013, Self-emp-inc, Sales
13014, Private, Other-service
13015, Self-emp-not-inc, Prof-specialty
13016, Local-gov, Prof-specialty
13017, Private, Sales
13018, Private, Sales
13019, State-gov, Exec-managerial
13020, Self-emp-not-inc, Other-service
13021, Private, Machine-op-inspct
13022, Private, Machine-op-inspct
13023, Private, Craft-repair
13024, Private, Handlers-cleaners
13025, ?, ?
13026, ?, ?
13027, Private, Machine-op-inspct
13028, Private, Transport-moving
13029, Private, Craft-repair
13030, Private, Other-service
13031, Private, Sales
13032, Private, Adm-clerical
13033, Self-emp-inc, Exec-managerial
13034, Private, Other-service
13035, Private, Adm-clerical
13036, Private, Other-service
13037, Private, Machine-op-inspct
13038, Private, Handlers-cleaners
13039, Private, Craft-repair
13040, Private, Sales
13041, Private, Adm-clerical
13042, ?, ?
13043, ?, ?
13044, Private, Sales
13045, Private, Handlers-cleaners
13046, Private, Sales
13047, Self-emp-not-inc, Craft-repair
13048, Private, Exec-managerial
13049, Private, Transport-moving
13050, Local-gov, Adm-clerical
13051, Private, Handlers-cleaners
13052, Private, Prof-specialty
13053, State-gov, Adm-clerical
13054, Private, Other-service
13055, Private, Exec-managerial
13056, Private, Prof-specialty
13057, Private, Machine-op-inspct
13058, Private, Machine-op-inspct
13059, Private, Sales
13060, Private, Farming-fishing
13061, Private, Machine-op-inspct
13062, Private, Other-service
13063, State-gov, Other-service
13064, Private, Machine-op-inspct
13065, ?, ?
13066, Federal-gov, Craft-repair
13067, Self-emp-inc, Craft-repair
13068, Private, Transport-moving
13069, ?, ?
13070, State-gov, Exec-managerial
13071, Private, Farming-fishing
13072, Private, Other-service
13073, Self-emp-not-inc, Prof-specialty
13074, ?, ?
13075, Private, Other-service
13076, Private, Transport-moving
13077, Private, Sales
13078, Private, Craft-repair
13079, Private, Craft-repair
13080, Private, Handlers-cleaners
13081, Private, Machine-op-inspct
13082, Private, Craft-repair
13083, Local-gov, Prof-specialty
13084, Private, Priv-house-serv
13085, State-gov, Protective-serv
13086, Private, Handlers-cleaners
13087, Private, Craft-repair
13088, Private, Adm-clerical
13089, Self-emp-not-inc, Farming-fishing
13090, Private, Adm-clerical
13091, Private, Priv-house-serv
13092, Local-gov, Protective-serv
13093, State-gov, Adm-clerical
13094, Private, Exec-managerial
13095, ?, ?
13096, Federal-gov, Adm-clerical
13097, Private, Other-service
13098, Private, Machine-op-inspct
13099, Private, Prof-specialty
13100, Private, Sales
13101, Private, Priv-house-serv
13102, Private, Exec-managerial
13103, Self-emp-inc, Machine-op-inspct
13104, Private, Transport-moving
13105, Private, Exec-managerial
13106, Local-gov, Prof-specialty
13107, Local-gov, Exec-managerial
13108, Local-gov, Other-service
13109, Private, Prof-specialty
13110, ?, ?
13111, Self-emp-not-inc, Sales
13112, Private, Exec-managerial
13113, Local-gov, Prof-specialty
13114, Private, Craft-repair
13115, Private, Sales
13116, Private, Prof-specialty
13117, Private, Adm-clerical
13118, Private, Adm-clerical
13119, Private, Adm-clerical
13120, Private, Sales
13121, Private, Prof-specialty
13122, Private, Sales
13123, Local-gov, Exec-managerial
13124, Private, Other-service
13125, Private, Machine-op-inspct
13126, Self-emp-not-inc, Other-service
13127, Private, Adm-clerical
13128, Local-gov, Prof-specialty
13129, Private, Other-service
13130, Local-gov, Prof-specialty
13131, Federal-gov, Exec-managerial
13132, Local-gov, Prof-specialty
13133, Private, Adm-clerical
13134, State-gov, Prof-specialty
13135, State-gov, Machine-op-inspct
13136, Local-gov, Other-service
13137, Local-gov, Adm-clerical
13138, Local-gov, Craft-repair
13139, Private, Sales
13140, Private, Prof-specialty
13141, Self-emp-not-inc, Craft-repair
13142, Private, Handlers-cleaners
13143, Private, Adm-clerical
13144, Private, Craft-repair
13145, Private, Exec-managerial
13146, Local-gov, Prof-specialty
13147, Private, Sales
13148, Self-emp-inc, Exec-managerial
13149, Private, Sales
13150, Local-gov, Other-service
13151, Local-gov, Adm-clerical
13152, Private, Adm-clerical
13153, ?, ?
13154, Private, Handlers-cleaners
13155, Private, Sales
13156, Private, Handlers-cleaners
13157, Private, Adm-clerical
13158, Private, Other-service
13159, Private, Prof-specialty
13160, Private, Transport-moving
13161, ?, ?
13162, Private, Sales
13163, Federal-gov, Prof-specialty
13164, Private, Adm-clerical
13165, Private, Adm-clerical
13166, Local-gov, Exec-managerial
13167, Private, Transport-moving
13168, Private, Craft-repair
13169, Private, Farming-fishing
13170, Self-emp-not-inc, Prof-specialty
13171, Private, Sales
13172, State-gov, Prof-specialty
13173, Private, Machine-op-inspct
13174, Private, Exec-managerial
13175, Private, Prof-specialty
13176, Private, Craft-repair
13177, ?, ?
13178, Private, Adm-clerical
13179, Private, Exec-managerial
13180, Private, Machine-op-inspct
13181, ?, ?
13182, ?, ?
13183, Local-gov, Adm-clerical
13184, Private, Sales
13185, Private, Exec-managerial
13186, Private, Prof-specialty
13187, Local-gov, Craft-repair
13188, Private, Handlers-cleaners
13189, Private, Prof-specialty
13190, Private, Transport-moving
13191, Self-emp-not-inc, Sales
13192, Private, Adm-clerical
13193, Self-emp-inc, Prof-specialty
13194, Private, Craft-repair
13195, Self-emp-inc, Exec-managerial
13196, Private, Prof-specialty
13197, Private, Prof-specialty
13198, Private, Handlers-cleaners
13199, Private, Handlers-cleaners
13200, Self-emp-not-inc, Prof-specialty
13201, Private, Craft-repair
13202, Private, Prof-specialty
13203, ?, ?
13204, Private, Prof-specialty
13205, Self-emp-not-inc, Craft-repair
13206, Local-gov, Prof-specialty
13207, Private, Sales
13208, Federal-gov, Adm-clerical
13209, Self-emp-inc, Exec-managerial
13210, Private, Exec-managerial
13211, Private, Other-service
13212, Self-emp-not-inc, Craft-repair
13213, Private, Tech-support
13214, Private, Prof-specialty
13215, Local-gov, Prof-specialty
13216, Private, Other-service
13217, Private, Sales
13218, Private, Craft-repair
13219, Self-emp-not-inc, Adm-clerical
13220, Private, Sales
13221, Self-emp-not-inc, Prof-specialty
13222, Private, Sales
13223, Private, Craft-repair
13224, Private, Prof-specialty
13225, Private, Other-service
13226, Private, Sales
13227, Private, Machine-op-inspct
13228, Private, Exec-managerial
13229, Private, Other-service
13230, Private, Sales
13231, Private, Prof-specialty
13232, Private, Craft-repair
13233, Federal-gov, Prof-specialty
13234, ?, ?
13235, Private, Other-service
13236, Private, Tech-support
13237, Private, Other-service
13238, Local-gov, Prof-specialty
13239, Private, Prof-specialty
13240, Private, Priv-house-serv
13241, Local-gov, Prof-specialty
13242, Private, Machine-op-inspct
13243, Private, Sales
13244, Private, Sales
13245, Private, Prof-specialty
13246, Private, Machine-op-inspct
13247, Private, Adm-clerical
13248, Private, Machine-op-inspct
13249, State-gov, Craft-repair
13250, Private, Exec-managerial
13251, Self-emp-not-inc, Farming-fishing
13252, Private, Exec-managerial
13253, Private, Craft-repair
13254, Private, Adm-clerical
13255, Private, Sales
13256, Private, Adm-clerical
13257, Private, Exec-managerial
13258, Private, Machine-op-inspct
13259, Private, Sales
13260, Self-emp-not-inc, Craft-repair
13261, Self-emp-not-inc, Farming-fishing
13262, Private, Prof-specialty
13263, Private, Other-service
13264, Private, Sales
13265, Private, Machine-op-inspct
13266, Local-gov, Handlers-cleaners
13267, Private, Sales
13268, Private, Sales
13269, Private, Adm-clerical
13270, Private, Prof-specialty
13271, Local-gov, Prof-specialty
13272, Private, Exec-managerial
13273, Self-emp-not-inc, Prof-specialty
13274, Private, Exec-managerial
13275, Private, Sales
13276, Private, Handlers-cleaners
13277, Private, Sales
13278, Private, Sales
13279, Private, Adm-clerical
13280, Private, Adm-clerical
13281, Private, Sales
13282, Self-emp-not-inc, Prof-specialty
13283, Private, Sales
13284, Self-emp-not-inc, Exec-managerial
13285, Private, Machine-op-inspct
13286, Private, Other-service
13287, Self-emp-not-inc, Prof-specialty
13288, Private, Machine-op-inspct
13289, Private, Exec-managerial
13290, ?, ?
13291, Private, Prof-specialty
13292, Private, Exec-managerial
13293, Private, Prof-specialty
13294, Local-gov, Prof-specialty
13295, Private, Prof-specialty
13296, Private, Other-service
13297, Private, Craft-repair
13298, Private, Other-service
13299, Private, Machine-op-inspct
13300, Private, Craft-repair
13301, Private, Adm-clerical
13302, ?, ?
13303, Private, Prof-specialty
13304, Private, Sales
13305, Private, Handlers-cleaners
13306, Private, Sales
13307, Private, Machine-op-inspct
13308, Private, Machine-op-inspct
13309, Private, Other-service
13310, Private, Prof-specialty
13311, Private, Machine-op-inspct
13312, Self-emp-not-inc, Other-service
13313, Private, Transport-moving
13314, Private, Adm-clerical
13315, Private, Exec-managerial
13316, Private, Prof-specialty
13317, Private, Adm-clerical
13318, Private, Sales
13319, Private, Handlers-cleaners
13320, Private, Sales
13321, ?, ?
13322, Private, Other-service
13323, Private, Handlers-cleaners
13324, Private, Adm-clerical
13325, Private, Sales
13326, Private, Adm-clerical
13327, Private, Adm-clerical
13328, Self-emp-inc, Exec-managerial
13329, Private, Sales
13330, Private, Priv-house-serv
13331, Private, Prof-specialty
13332, Federal-gov, Adm-clerical
13333, Private, Prof-specialty
13334, Private, Adm-clerical
13335, Private, Craft-repair
13336, Self-emp-not-inc, Farming-fishing
13337, Private, Adm-clerical
13338, Private, Adm-clerical
13339, Local-gov, Prof-specialty
13340, Self-emp-not-inc, Exec-managerial
13341, Private, Adm-clerical
13342, Self-emp-not-inc, Sales
13343, Private, Prof-specialty
13344, Private, Sales
13345, Private, Machine-op-inspct
13346, Self-emp-not-inc, Farming-fishing
13347, ?, ?
13348, Local-gov, Protective-serv
13349, Private, Transport-moving
13350, Private, Exec-managerial
13351, Private, Machine-op-inspct
13352, Private, Exec-managerial
13353, Private, Protective-serv
13354, Private, Other-service
13355, Private, Tech-support
13356, Private, Adm-clerical
13357, Private, Exec-managerial
13358, Private, Prof-specialty
13359, Private, Machine-op-inspct
13360, Self-emp-not-inc, Exec-managerial
13361, Local-gov, Prof-specialty
13362, Private, Adm-clerical
13363, Private, Handlers-cleaners
13364, Private, Transport-moving
13365, ?, ?
13366, Private, Exec-managerial
13367, Private, Exec-managerial
13368, Private, Prof-specialty
13369, Private, Machine-op-inspct
13370, ?, ?
13371, Private, Machine-op-inspct
13372, Private, Adm-clerical
13373, Federal-gov, Handlers-cleaners
13374, Private, Craft-repair
13375, Private, Other-service
13376, Private, Prof-specialty
13377, Private, Prof-specialty
13378, Local-gov, Exec-managerial
13379, Private, Exec-managerial
13380, Private, Craft-repair
13381, Self-emp-not-inc, Sales
13382, Private, Adm-clerical
13383, Self-emp-inc, Sales
13384, ?, ?
13385, Self-emp-inc, Sales
13386, Self-emp-not-inc, Craft-repair
13387, Local-gov, Transport-moving
13388, Local-gov, Prof-specialty
13389, Self-emp-not-inc, Farming-fishing
13390, Private, Prof-specialty
13391, Private, Farming-fishing
13392, Private, Machine-op-inspct
13393, Federal-gov, Prof-specialty
13394, Self-emp-not-inc, Exec-managerial
13395, Private, Exec-managerial
13396, Private, Craft-repair
13397, Local-gov, Prof-specialty
13398, Private, Craft-repair
13399, Local-gov, Adm-clerical
13400, Private, Sales
13401, Private, Craft-repair
13402, Private, Adm-clerical
13403, Private, Exec-managerial
13404, Self-emp-inc, Craft-repair
13405, Private, Sales
13406, Private, Prof-specialty
13407, Self-emp-not-inc, Sales
13408, Private, Prof-specialty
13409, Private, Craft-repair
13410, Private, Prof-specialty
13411, State-gov, Adm-clerical
13412, Private, Transport-moving
13413, Private, Exec-managerial
13414, Private, Machine-op-inspct
13415, Private, Adm-clerical
13416, Private, Craft-repair
13417, Private, Exec-managerial
13418, Private, Tech-support
13419, Private, Sales
13420, Private, Sales
13421, Private, Machine-op-inspct
13422, Private, Exec-managerial
13423, Local-gov, Protective-serv
13424, Private, Adm-clerical
13425, Self-emp-not-inc, Sales
13426, Private, Adm-clerical
13427, Private, Exec-managerial
13428, Private, Adm-clerical
13429, Private, Sales
13430, Private, Transport-moving
13431, Private, Machine-op-inspct
13432, Self-emp-not-inc, Prof-specialty
13433, Self-emp-not-inc, Craft-repair
13434, Private, Exec-managerial
13435, Private, Craft-repair
13436, Private, Other-service
13437, Private, Craft-repair
13438, Private, Sales
13439, Local-gov, Protective-serv
13440, Private, Sales
13441, Private, Craft-repair
13442, Private, Adm-clerical
13443, Private, Sales
13444, Private, Transport-moving
13445, Private, Adm-clerical
13446, Private, Adm-clerical
13447, ?, ?
13448, Private, Craft-repair
13449, Local-gov, Craft-repair
13450, Private, Craft-repair
13451, State-gov, Prof-specialty
13452, Private, Adm-clerical
13453, Private, Prof-specialty
13454, State-gov, Prof-specialty
13455, Private, Exec-managerial
13456, Private, Handlers-cleaners
13457, Self-emp-inc, Adm-clerical
13458, Private, Craft-repair
13459, Private, Sales
13460, Private, Prof-specialty
13461, Private, Sales
13462, Self-emp-not-inc, Sales
13463, Self-emp-not-inc, Craft-repair
13464, Private, Transport-moving
13465, Private, Handlers-cleaners
13466, Self-emp-not-inc, Prof-specialty
13467, Private, Sales
13468, Private, Other-service
13469, Private, Craft-repair
13470, Private, Machine-op-inspct
13471, Private, Other-service
13472, Private, Other-service
13473, Private, Machine-op-inspct
13474, Private, Prof-specialty
13475, Private, Adm-clerical
13476, Private, Prof-specialty
13477, Private, Adm-clerical
13478, Federal-gov, Exec-managerial
13479, Private, Exec-managerial
13480, Private, Sales
13481, State-gov, Other-service
13482, Local-gov, Adm-clerical
13483, Federal-gov, Exec-managerial
13484, Self-emp-not-inc, Other-service
13485, Private, Craft-repair
13486, Private, Craft-repair
13487, Local-gov, Prof-specialty
13488, Private, Craft-repair
13489, Federal-gov, Adm-clerical
13490, Private, Adm-clerical
13491, Private, Adm-clerical
13492, Private, Exec-managerial
13493, ?, ?
13494, Federal-gov, Other-service
13495, Private, Transport-moving
13496, Private, Prof-specialty
13497, Private, Sales
13498, ?, ?
13499, Private, Sales
13500, Private, Other-service
13501, Private, Exec-managerial
13502, Private, Prof-specialty
13503, Private, Handlers-cleaners
13504, ?, ?
13505, Private, Sales
13506, Private, Sales
13507, Private, Craft-repair
13508, State-gov, Prof-specialty
13509, Private, Exec-managerial
13510, Private, Prof-specialty
13511, Self-emp-not-inc, Farming-fishing
13512, Local-gov, Other-service
13513, State-gov, Tech-support
13514, Private, Prof-specialty
13515, ?, ?
13516, Local-gov, Transport-moving
13517, Private, Craft-repair
13518, Private, Machine-op-inspct
13519, Private, Craft-repair
13520, Private, Other-service
13521, Private, Exec-managerial
13522, Federal-gov, Tech-support
13523, Private, Prof-specialty
13524, Private, Other-service
13525, ?, ?
13526, Local-gov, Prof-specialty
13527, Private, Machine-op-inspct
13528, Private, Exec-managerial
13529, Self-emp-not-inc, Farming-fishing
13530, Private, Craft-repair
13531, Private, Craft-repair
13532, Private, Other-service
13533, Private, Prof-specialty
13534, ?, ?
13535, Private, Transport-moving
13536, Self-emp-not-inc, Farming-fishing
13537, Federal-gov, Adm-clerical
13538, Private, Machine-op-inspct
13539, Self-emp-not-inc, Sales
13540, Private, Craft-repair
13541, Private, Other-service
13542, Private, Priv-house-serv
13543, Private, Protective-serv
13544, Private, Machine-op-inspct
13545, Private, Sales
13546, Private, Sales
13547, Local-gov, Prof-specialty
13548, Private, Adm-clerical
13549, Self-emp-not-inc, Prof-specialty
13550, Private, Craft-repair
13551, Private, Exec-managerial
13552, ?, ?
13553, Private, Adm-clerical
13554, Private, Machine-op-inspct
13555, Private, Sales
13556, ?, ?
13557, Private, Sales
13558, Private, Prof-specialty
13559, Private, Other-service
13560, Private, Prof-specialty
13561, Private, Exec-managerial
13562, Self-emp-not-inc, Farming-fishing
13563, Private, Adm-clerical
13564, Private, Machine-op-inspct
13565, Private, Craft-repair
13566, Self-emp-not-inc, Craft-repair
13567, Private, Prof-specialty
13568, Self-emp-not-inc, Sales
13569, ?, ?
13570, Private, Prof-specialty
13571, Private, Handlers-cleaners
13572, Private, Adm-clerical
13573, Private, Machine-op-inspct
13574, Private, Transport-moving
13575, Private, Craft-repair
13576, Private, Craft-repair
13577, Private, Tech-support
13578, Private, Sales
13579, State-gov, Adm-clerical
13580, Self-emp-not-inc, Exec-managerial
13581, Private, Other-service
13582, Private, Exec-managerial
13583, Self-emp-inc, Prof-specialty
13584, State-gov, Adm-clerical
13585, Private, Prof-specialty
13586, ?, ?
13587, State-gov, Farming-fishing
13588, Local-gov, Craft-repair
13589, Self-emp-not-inc, Exec-managerial
13590, State-gov, Prof-specialty
